user,completed,rating,status,pattern_id,average_rating,rating_count
hannahcf,2018/11/25,4.0,Finished,17468,4.52037617554859,1276.0
hannahcf,2018/05/05,4.0,Finished,629964,4.285714285714286,7.0
hannahcf,2018/03/13,4.0,Finished,287992,4.554956896551724,928.0
hannahcf,2018/01/31,4.0,Finished,475167,4.5,4.0
hannahcf,2018/01/05,4.0,Finished,544863,4.662650602409639,332.0
hannahcf,2017/12/29,4.0,Finished,418518,4.808213716108453,2508.0
hannahcf,2017/12/10,4.0,Finished,514610,4.74496644295302,149.0
hannahcf,2017/12/05,4.0,Finished,96380,4.219858156028369,564.0
hannahcf,2017/11/14,,Finished,17468,4.52037617554859,1276.0
hannahcf,2017/10/20,4.0,Finished,1806,4.495995423340961,1748.0
hannahcf,2017/10/03,2.0,Finished,482804,4.779661016949152,59.0
hannahcf,2017/09/12,4.0,Finished,566285,4.786583555951321,3369.0
hannahcf,2017/09/10,4.0,Finished,514614,4.770212765957447,705.0
hannahcf,2017/09/07,4.0,Finished,112579,4.605595172792101,1823.0
hannahcf,2017/08/21,4.0,Finished,625513,4.851254480286738,1674.0
hannahcf,2017/08/01,4.0,Finished,587192,4.46875,32.0
hannahcf,2017/04/18,4.0,Finished,591388,4.8431372549019605,51.0
hannahcf,2017/02/22,3.0,Finished,560958,4.482142857142857,56.0
hannahcf,2017/02/12,4.0,Finished,418518,4.808213716108453,2508.0
hannahcf,2017/02/02,4.0,Finished,2511,4.5030674846625764,163.0
hannahcf,2017/01/22,4.0,Finished,447068,4.84375,480.0
hannahcf,2017/01/04,4.0,Finished,418518,4.808213716108453,2508.0
hannahcf,2016/12/07,3.0,Finished,17533,4.64390756302521,952.0
hannahcf,2016/11/29,3.0,Finished,443533,4.747985059956752,5087.0
hannahcf,2016/10/07,4.0,Finished,622061,4.589743589743589,39.0
hannahcf,2016/06/20,4.0,Finished,488215,4.923076923076923,13.0
hannahcf,2016/04/30,4.0,Finished,114586,4.793577981651376,218.0
hannahcf,2016/03/11,4.0,Finished,566285,4.786583555951321,3369.0
hannahcf,2016/01/30,3.0,Finished,6783,4.072769953051643,852.0
hannahcf,2016/01/04,4.0,Finished,431961,4.731075697211155,502.0
hannahcf,2015/12/16,4.0,Finished,176487,4.591493570722057,1011.0
hannahcf,2015/11/17,4.0,Finished,317565,4.672413793103448,2378.0
hannahcf,2015/11/08,4.0,Finished,373412,4.823188405797102,1035.0
hannahcf,2015/11/08,3.0,Finished,113145,4.467532467532467,231.0
hannahcf,2015/11/03,3.0,Finished,169260,4.54710920770878,7472.0
hannahcf,2015/10/24,4.0,Finished,443533,4.747985059956752,5087.0
hannahcf,2015/10/11,3.0,Finished,314978,4.594594594594595,185.0
hannahcf,2015/08/09,4.0,Finished,86415,4.695121951219512,82.0
hannahcf,2015/07/04,3.0,Finished,510895,4.46875,32.0
hannahcf,2015/05/30,4.0,Finished,338884,4.565217391304348,23.0
hannahcf,2015/03/15,4.0,Finished,443533,4.747985059956752,5087.0
hannahcf,2015/02/22,4.0,Finished,248525,4.706632653061225,784.0
hannahcf,2015/02/17,4.0,Finished,440784,4.7189695550351285,2562.0
hannahcf,2014/12/28,4.0,Finished,204700,4.529411764705882,391.0
hannahcf,2014/12/13,4.0,Finished,145368,4.71609477124183,2448.0
hannahcf,2014/10/26,4.0,Finished,103767,4.550796265788029,3642.0
hannahcf,2014/10/14,4.0,Finished,373102,4.454545454545454,374.0
hannahcf,2014/09/28,4.0,Finished,405278,4.857263513513513,1184.0
hannahcf,2014/09/27,4.0,Finished,169260,4.54710920770878,7472.0
hannahcf,2014/07/09,4.0,Finished,485984,4.770491803278689,305.0
hannahcf,2014/05/06,2.0,Finished,104547,4.25,4.0
hannahcf,2014/04/18,4.0,Finished,114586,4.793577981651376,218.0
hannahcf,2014/02/21,4.0,Finished,430338,4.8914285714285715,175.0
hannahcf,2014/02/16,4.0,Finished,243004,4.469230769230769,130.0
hannahcf,2014/01/12,4.0,Finished,147825,4.6645962732919255,161.0
hannahcf,2014/01/06,3.0,Finished,145368,4.71609477124183,2448.0
hannahcf,2013/12/31,4.0,Finished,155192,4.673913043478261,46.0
hannahcf,2013/12/23,3.0,Finished,249380,4.395348837209302,43.0
hannahcf,2013/12/07,4.0,Finished,373412,4.823188405797102,1035.0
hannahcf,2013/12/07,3.0,Finished,204293,4.704251386321626,1082.0
hannahcf,2013/12/01,4.0,Finished,249380,4.395348837209302,43.0
hannahcf,2013/12/01,3.0,Finished,373412,4.823188405797102,1035.0
hannahcf,2013/11/27,4.0,Finished,373412,4.823188405797102,1035.0
hannahcf,2013/11/13,4.0,Finished,378676,4.771739130434782,92.0
hannahcf,2013/10/27,4.0,Finished,426206,4.801452784503632,413.0
hannahcf,2013/10/17,4.0,Finished,99715,4.5216268560361526,1549.0
hannahcf,2013/10/08,4.0,Finished,331676,4.7495908346972175,611.0
hannahcf,2013/09/28,3.0,Finished,99715,4.5216268560361526,1549.0
hannahcf,2013/09/26,3.0,Finished,134778,4.665024630541872,203.0
hannahcf,2013/09/24,4.0,Finished,318247,4.731822474032105,1059.0
hannahcf,2013/09/11,4.0,Finished,265349,4.7,20.0
hannahcf,2013/08/10,4.0,Finished,318247,4.731822474032105,1059.0
hannahcf,2013/08/07,4.0,Finished,318247,4.731822474032105,1059.0
hannahcf,2013/07/26,4.0,Finished,415040,4.936507936507937,63.0
hannahcf,2013/06/11,4.0,Finished,378676,4.771739130434782,92.0
hannahcf,2013/06/01,2.0,Finished,8066,4.419277108433735,1245.0
hannahcf,2013/05/15,3.0,Finished,85772,4.370892018779343,213.0
hannahcf,2013/04/02,4.0,Finished,207869,4.720430107526882,93.0
hannahcf,2013/02/05,4.0,Finished,167312,4.638211382113822,246.0
hannahcf,2013/02/01,3.0,Finished,289384,4.580865603644647,878.0
hannahcf,2013/01/30,3.0,Finished,338878,3.725,40.0
hannahcf,2012/12/20,3.0,Finished,265487,4.598101265822785,948.0
hannahcf,2012/11/22,3.0,Finished,258401,4.633540372670807,161.0
hannahcf,2012/11/16,4.0,Finished,169841,4.773684210526316,380.0
hannahcf,2012/11/11,3.0,Finished,227810,4.588235294117647,85.0
hannahcf,2012/11/10,3.0,Finished,145283,4.333333333333333,198.0
hannahcf,2012/10/25,3.0,Finished,145368,4.71609477124183,2448.0
hannahcf,2012/10/14,3.0,Finished,142567,4.629139072847682,302.0
hannahcf,2012/05/01,4.0,Finished,120733,4.514792899408284,169.0
hannahcf,2011/12/18,2.0,Finished,36984,4.045454545454546,44.0
hannahcf,2011/11/28,4.0,Finished,102193,4.4913602126716885,2257.0
hannahcf,2011/10/21,4.0,Finished,169260,4.54710920770878,7472.0
hannahcf,2011/09/10,4.0,Finished,145368,4.71609477124183,2448.0
hannahcf,2011/08/19,4.0,Finished,174381,4.066666666666666,45.0
hannahcf,2011/04/13,4.0,Finished,4148,4.405056481979559,5577.0
